,text,selected_text,sentiment,Age of User,Country
0,i d have responded if i were going,"i`d have responded, if i were going",neutral,0-20,Afghanistan
1,soo sad i will miss you here in gpe_san gpe_diego,sooo sad,negative,21-30,Albania
2,my boss is bullying me,bullying me,negative,31-45,Algeria
3,what interview leave me alone,leave me alone,negative,46-60,Andorra
4,sons of why could nt they put them on the releases we already bought,"sons of ****,",negative,60-70,Angola
5,URL some shameless plugging for the best rangers forum on earth,http://www.dothebouncy.com/smf - some shameless plugging for the best rangers forum on earth,neutral,70-100,Antigua and Barbuda
6,am feedings for the baby are fun when he is all smiles and coos,fun,positive,0-20,Argentina
7,soo high,soooo high,neutral,21-30,Armenia
8,both of you,both of you,neutral,31-45,Australia
9,journey wow you just became cooler hehe is that possible,wow... u just became cooler.,positive,46-60,Austria
10,as much as i love to be hopeful i reckon the chances are minimal p i m never going to get my cake and stuff,"as much as i love to be hopeful, i reckon the chances are minimal =p i`m never gonna get my cake and stuff",neutral,60-70,Azerbaijan
11,i really really like the song love story by person_taylor swift,like,positive,70-100,Bahamas
12,my sharpie is running dangerously low on ink,dangerously,negative,0-20,Bahrain
13,i want to go to music time_tonight but i lost my voice,lost,negative,21-30,Bangladesh
14,test test from the lg env,test test from the lg env2,neutral,31-45,Barbados
15,uh oh i am sunburned,"uh oh, i am sunburned",negative,46-60,Belarus
16,sok trying to plot alternatives as we speak sigh,*sigh*,negative,60-70,Belgium
17,i ve been sick for date_the date_past date_few date_days and thus my hair looks wierd if i did not have a hat on it would look URL,sick,negative,70-100,Belize
18,is back home now going to miss every one,onna,negative,0-20,Benin
19,he s just not that into you,hes just not that into you,neutral,21-30,Bhutan
20,oh marly i m so sorry i hope you find her soon love love,"oh marly, i`m so sorry!!  i hope you find her soon!! <3 <3",neutral,31-45,Bolivia
21,playing ghost online is really interesting the new updates are kirin pet and metamorph for ordinal_third job ca nt wait to have a dragon pet,interesting.,positive,46-60,Bosnia and Herzegovina
22,is cleaning the house for her family who is comming time_later time_today,is cleaning the house for her family who is comming later today..,neutral,60-70,Botswana
23,got to restart my computer i thought win was supposed to put an end to the constant rebootiness,gotta restart my computer .. i thought win7 was supposed to put an end to the constant rebootiness,neutral,70-100,Brazil
24,see what i mean about follw friidays its called lose fllowers date_friday shaking my head,see wat i mean bout foll0w friidays... it`s called lose f0llowers friday... smh,neutral,0-20,Brunei
25,the free fillin application on my ipod is fun Instant Message addicted,"the free fillin` app on my ipod is fun, im addicted",positive,21-30,Bulgaria
26,i m sorry,i`m sorry.,negative,31-45,Burkina Faso
27,on the way to malaysiano internet access to twit,.no internet,negative,46-60,Burundi
28,just came backk from berkeleyy oh my God its madd fun out there have not been out there in a minute whassqoodd,fun,positive,60-70,Cï¿½te d'Ivoire
29,went to sleep and there is a power cut in noida power back up not working too,power back up not working too,negative,70-100,Cabo Verde
30,i m going home now have you seen my new twitter design quiteheavenly isn,quite....heavenly,positive,0-20,Cambodia
31,i hope unni will make the audition fighting dahye unni,hope,positive,21-30,Cameroon
32,if it is any consolation i got my bmi tested hahaha it says i am obesed well so much for being unhappy for time_about time_NUMBER time_minutes,well so much for being unhappy for about 10 minute,negative,31-45,Canada
33,that s very funny cute kids,funny.,positive,46-60,Central African Republic
34,ahh i slept through the game i m going to try my best to watch org_moro though i hope we play army,"ahhh, i slept through the game.  i`m gonna try my best to watch tomorrow though. i hope we play army.",neutral,60-70,Chad
35,that is it its the end tears for fears versus eric prydz dj hero URL,"thats it, its the end. tears for fears",neutral,70-100,Chile
36,born and raised in gpe_New gpe_York gpe_City and living in gpe_texas for date_the date_past date_NUMBER date_years i still miss ny,miss,negative,0-20,China
37,just in case you wonder we are really busy date_today and this coming with with adding tons of new blogs and updates stay tuned,"just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned",neutral,21-30,Colombia
38,i m soo sleepy date_the date_last date_day o school was todaysniffle,soooooo sleeeeepy!!!,negative,31-45,Comoros
39,a little happy for the wine jeje okay itsm my free time so who cares jaja i love date_this date_day,a little happy fo,positive,46-60,Congo (Congo-Brazzaville)
40,car not happy big big dent in boot hoping they are not going to write it off crossing fingers and waiting,"car not happy, big big dent in boot! hoping theyre not going to write it off, crossing fingers and waiting",neutral,60-70,Costa Rica
41,Instant Message an avid fan of magazine and i love your magazines,avid fan of,positive,70-100,Croatia
42,date_mayday,mayday?!,neutral,0-20,Cuba
43,ratt rocked gpe_nashville toniteone thing sucked no encore like in the org_NUMBERs they still have a fun show pearcy has that hot bad boy look,"ratt rocked nashville tonite..one thing sucked, no encore!  like in the 80`s they still have a fun show. pearcy has that hott bad boy look",neutral,21-30,Cyprus
44,i love to but i m only available from pm and where dear would love to help convert her vidsãââ½,i love to!,positive,31-45,Czechia (Czech Republic)
45,the girl in the hair salon asked me shall i trim your eyebrows how old do i feel,the girl in the hair salon asked me 'shall i trim your eyebrows!' how old do i feel?,neutral,46-60,Democratic Republic of the Congo
46,egh blah and boo i I do not know want to go to work hangovers suckk work_of_art_Instant work_of_art_Message a drunk mess,suckkkkkk,negative,60-70,Denmark
47,visiting my friendster and facebook,:visiting my friendster and facebook,neutral,70-100,Djibouti
48,i donbt like to peel prawns i also do not like going shopping running out of money and crawling round the car looking for more,dont like go,negative,0-20,Dominica
49,which case i got a new one date_last date_week and i m not thrilled at all with mine,d i`m not thrilled at all with mine.,negative,21-30,Dominican Republic
50,then you should check out URL and connect with other tweeple who hate twitter,then you should check out http://twittersucks.com and connect with other tweeple who hate twitter,neutral,31-45,Ecuador
51,also bored at school its my ordinal_third freelesson freistunde,"also bored at school, its my third freelesson( freistunde )",neutral,46-60,Egypt
52,hm both of us i guess,hm... both of us i guess...,neutral,60-70,El Salvador
53,it is you have dissappointed me date_that date_past date_few date_days,it is ****...u have dissappointed me that past few days,negative,70-100,Equatorial Guinea
54,romance zero is funny,romance zero is funny,positive,0-20,Eritrea
55,i d rather do the early runbut time_i time_am time_a time_morning runner,i`d rather do the early run..but i am a morning runner,neutral,21-30,Estonia
56,I do not really care a coworker ran into work late and her bag smacked into my knee it really hurts now,hurts,negative,31-45,"Eswatini (fmr. ""Swaziland"")"
57,will be back later URL,will be back later.,neutral,46-60,Ethiopia
58,aw torn ace of hearts hunchback,torn ace of hearts,negative,60-70,Fiji
59,what fun are you speaking of,what fun are you speaking of?,neutral,70-100,Finland
60,i lost all my friends i m alone and sleepyi want to go home,"i lost all my friends, i`m alone and sleepy..",negative,0-20,France
61,haha yes,haha yes,neutral,21-30,Gabon
62,i give in to easily,i give in to easily,negative,31-45,Gambia
63,what better way to spoil mum than to let her kick back and relax over a nice meal and a bottle of her favorite wine our wine was a red,favorite,positive,46-60,Georgia
64,person_mann _ got an iphone Instant Message jealous URL,jealous..,negative,60-70,Germany
65,is at a photoshoot,is at a photoshoot.,neutral,70-100,Ghana
66,he s awesome have you worked with him before he s a good friend,s awesome,positive,0-20,Greece
67,yay playing a show time_tonight boo its going to soggy and i m at work right before playing,yay playing a show tonight! boo it`s gonna soggy and i`m at work right before playing,neutral,21-30,Grenada
68,chilliin,chilliin,positive,31-45,Guatemala
69,if you know such agent do let me know,"if you know such agent, do let me know",neutral,46-60,Guinea
70,i still smell of smoke kitchenfire,i still smell of smoke  #kitchenfire,neutral,60-70,Guinea-Bissau
71,a celticslakers rematch sounds better do nt you think laughing out loud,better,positive,70-100,Guyana
72,anyone have an extra keane ticket i promise to buy you a drink and take rad pictures for your fb web log flickr etc,"anyone have an extra keane ticket? i promise to buy you a drink and take rad pics for your fb / blog / flickr., etc",neutral,0-20,Haiti
73,you can ride one you can catch one but its not date_summer until you pop open one,"'you can ride one, you can catch one, but its not summer til you pop open one'  ?",neutral,21-30,Holy See
74,she is good so gorjuz yeah i know i asked her date_yesterday when we were at the hospital if she talked to you and she said no,she is good! so gor-juz yea i kno i asked her yesterday when we were at tha hospital if she talked to u and she said no,neutral,31-45,Honduras
75,okay i m out of here for now just popped in to say hi and check on things ill probably head to the guttah later on time_tonight,ok - i`m out of here for now. just popped in to say hi and check on things. i`ll probably head to the guttah later on tonight,neutral,46-60,Hungary
76,wow i am really missin the family date_today badd,baddd.,negative,60-70,Iceland
77,my sources say no,my sources say no,neutral,70-100,India
78,i am soo tired,i am sooo tired,negative,0-20,Indonesia
79,hey you change your twitter account and you did nt even tell me,"hey, you change your twitter account, and you didn`t even tell me...",neutral,21-30,Iran
80,thank yyoouu,thank yyyyyyyyyoooooooooouuuuu!,positive,31-45,Iraq
81,lucky kidi so want to see loserville pity Instant Message in oz,lucky,positive,46-60,Ireland
82,fell asleep waiting for my ride,fell asleep waiting for my ride!,neutral,60-70,Israel
83,sick with a flu like thing,sick.,negative,70-100,Italy
84,still no reply from about my simfinger problem so no irape parody video until i get a response sorry guys,", sorry guys",negative,0-20,Jamaica
85,happy star wars day everyone and enjoy the holiday uk,happy star wars day everyone! and enjoy the holiday (uk),positive,21-30,Japan
86,miles from you i m in essex so give me plenty of warning so i can arrive in time to get cardinal_at cardinal_least cardinal_one of those free beers,miles from you   i`m in essex so give me plenty of warning so i can arrive in time to get at least one of those free beers,neutral,31-45,Jordan
