,Slang,Meaning
0,*4u,Kiss for you
1,*67,unknown
2,*eg*,evil grin
3,07734,hello
4,0day,software illegally obtained before it was released
5,0noe,Oh No
6,0vr,over
7,10q,thank you
8,10tacle,Tentacle
9,10x,thanks
10,12b,wannabe
11,1337,elite
12,13375p34k,Leetspeak
13,133t,elite
14,13itch,b***h
15,143,I love you
16,182,I hate you
17,187,murder
18,1ab,wannabe
19,1daful,wonderful
20,1dering,wondering
21,1nce,once
22,1sec,one second
23,2,too
24,2b,to be
25,2b4u,too bad for you
26,2bad4u2,too bad for you too 
27,2bh,to be honest
28,2da,to the
29,2dae,today
30,2day,today
31,2ditd,today is the day
32,2ez,too easy
33,2g2b4g,To good to be forgotten
34,2g2bt,too good to be true
35,2ge4,Together
36,2getha,together 
37,2gether,together
38,2gethr,together
39,2getr,Together
40,2h2h,too hot to handle
41,2h4u,too hot for you
42,2k0,2000
43,2k1,2001
44,2k14,2014
45,2k2,2002
46,2k3,2003
47,2k4,2004
48,2k5,2005
49,2k6,2006
50,2k7,2007
51,2k8,2008
52,2k9,2009
53,2l8,too late
54,2m,tomorrow
55,2m4u,too much for you
56,2ma,Tomorrow
57,2maro,tomorrow
58,2mmrw,tomorrow
59,2mo,tomorrow
60,2mora,tomorrow
61,2moro,tomorrow
62,2morow,tomorrow
63,2morro,tomorrow
64,2morrow,tommorrow
65,2moz,tomorrow
66,2mozz,tomorrow
67,2mro,tomorrow
68,2mrw,tomorrow
69,2mw,tomorrow
70,2mz,tomorrow
71,2night,tonight
72,2nite,tonight
73,2nyt,tonight
74,2o4s,too old for sex
75,2qt,too cute
76,2sday,tuesday
77,2tali,totally
78,2tm,to the max
79,2trd,too tired
80,2u2,To you too
81,301ing,referring traffic to another site
82,304,hoe
83,31337,elite
84,313373,elite
85,31ee7,elite
86,3arc,Treyarch
87,3q,thank you
88,3u,thank you
89,3vi1,evil
90,3y3 y4m,I am
91,4,for
92,404,Clueless
93,42n8,fortunate
94,4311,hell
95,4ax0r,hacker
96,4col,For crying out loud
97,4e&e,forever and ever
98,4eva,forever
99,4ever,forever
100,4evr,for ever
101,4evs,forever
102,4fs,for f**k's sake
103,4g8,forget
104,4gai,forget about it
105,4geit,forget it
106,4get,forget
107,4getu,forget you
108,4give,forgive
109,4got,forgot
110,4gv,forgive
111,4head,forehead
112,4hoa,four horsemen of the apocalypse
113,4ker,f**ker
114,4king,f**king
115,4lyf3,for life
116,4lyfe,for life
117,4m,form
118,4n,Phone
119,4q,f**k you
120,4r3al,for real
121,4rm,from
122,4sho,for sure
123,4tlog,for the love of god
124,4tw,for the win
125,4u,for you
126,4umb,For You Maybe
127,4us,for us
128,4ward,forward
129,4wd,forward
130,4yeo,For Your Eyes Only
131,5-oh,cop
132,53x,sex
133,5h17,s**t
134,5n,fine
135,5o,police
136,6flx,X-Rated movie (sex flick)
137,6up,cops in area
138,6y,sexy
139,7734,hell
140,7uck,f**k
141,8008,boob
142,8008135,boobies
143,80085,Boobs
144,81tc#,b***h
145,9009l3,Google
146,911sc,emergency let's stop chatting
147,9t,night
148,<3,love
149,?u@,Where are you?
150,?up,what's up?
151,?^,what's up?
152,@,at
153,@$$,ass
154,@$$ #013,ass hole
155,@$$hole,a**h**e
156,@h,a**h**e
157,^5,high five
158,a$$,ass
159,a&f,always and forever
160,a'ight,alright
161,A-hole,a**h**e
162,a.i.m.,aol instant messanger
163,a/l,age and location
164,a/m,away message
165,a/s/l,"age,sex,location"
166,a/s/l/p,age/sex/location/picture
167,a/s/l/r,"age, sex, location, race"
168,a1t,anyone there
169,A2A,Ask to Answer
170,a3,"anyplace, anywhere, anytime"
171,a4u,all for you
172,A7X,Avenged Sevenfold
173,A8t,Alright 
174,aaaaa,American Assosciation Against Acronym Abuse
175,aabf,as a best friend
176,aaf,as a friend
177,aak,Alive and Kicking
178,aamof,as a matter of fact
179,aatf,always and totally forever
180,aatw,all around the world
181,abd,Already Been Done
182,abend,absent by enforced net deprivation
183,abft,About f**king Time
184,aboot,about
185,abreev,abbreviation
186,absnt,absent
187,abt,about
188,abwt,about
189,acc,account
190,acct,account
191,acgaf,Absolutely couldn't give a f**k
192,ack,acknowledged
193,addy,address
194,adhd,Attention Deficit Hyperactivity Disorder
195,adl,all day long
196,admin,administrator
197,adn,any day now
198,aeap,as early as possible
199,af,assface
200,afaiaa,As Far As I Am Aware
201,afaic,as far as I'm concerned
202,afaicr,As Far As I Can Remember
203,afaicr4,as far as i can remember for
204,afaics,as far as I can see
205,afaict,as far as I can tell
206,afaik,as far as I know
207,afair,as far as I recall
208,afaiu,As far as I understand
209,afc,away from computer
210,afcpmgo,away from computer parents may go on
211,afg,away from game
212,afk,away from keyboard
213,afkb,away from keyboard
214,agn,again
215,ah,ass hole
216,ahole,a**h**e
217,ai,Artificial Intelligence
218,aiadw,ALL IN A DAYS WORK
219,aiamu,and I'm a monkey's uncle
220,aicmfp,and I claim my five pounds
221,aight,Alright
222,aightz,alright
223,aii,alright
224,aiic,as if I care
225,aiid,and if I did
226,aiight,all right
227,aim,AOL instant messanger
228,aimmc,Am I making myself clear 
229,ain't,am not
230,air,am i right
231,aita,am I the a**h**e
232,aite,Alright
233,aitr,Adult in the room
234,aiui,as I understand it
235,aiws,as i was saying
236,ajax,Asynchronous Javascript and XML
237,aka,also known as
238,akp,Alexander King Project
239,akpcep,Alexander King Project Cultural Engineering Project
240,alaylm,As long as you love me
241,alaytm,as long as you tell me
242,alol,actually laughing out loud
243,alot,a lot
244,alotbsol,always look on the bright side of life
245,alr,alright
246,alright,all right
247,alrite,Alright
248,alrt,alright
249,alryt,alright
250,ama,ask me anything
251,amf,adios motherf**ker
252,amiic,ask me if i care
253,amiigaf,ask me if i give a f**k
254,aml,All My Love
255,amog,alpha male of the group
256,Amos,Add me on snapchat
257,amosc,add me on Snapchat
258,ams,Ask me something
259,amsp,ask me something personal
260,anim8,animate
261,anl,all night long
262,anlsx,Anal Sex
263,anon,anonymous
264,anuda,another
265,anw,anyways
266,anwwi,alright now where was i
267,any1,Anyone
268,anywaz,anyways
269,aob,any other business
270,aoc,age of consent
271,aoe,Age Of Empires
272,aon,all or nothing
273,aos,adult over shoulder
274,aota,all of the above
275,aoto,Amen on that one
276,aoys,angel on your shoulder
277,api,application program interface
278,apoc,apocalypse
279,apod,Another Point Of Discussion
280,app,application
281,apps,applications
282,appt,appointment
283,aprece8,appreciate
284,apreci8,appreciate
